event,key,timestamp,label
keyup,Key.space,1753192254.5619824,bot
keydown,w,1753192254.7647169,bot
keyup,w,1753192254.7648509,bot
keydown,o,1753192254.9672573,bot
keyup,o,1753192254.9674945,bot
keydown,r,1753192255.1701794,bot
keyup,r,1753192255.1706064,bot
keydown,l,1753192255.3731692,bot
keyup,l,1753192255.3733978,bot
keydown,d,1753192255.5760705,bot
keyup,d,1753192255.5764854,bot
keydown,Key.space,1753192255.7790809,bot
keyup,Key.space,1753192255.7792041,bot
keydown,h,1753192255.9815168,bot
keyup,h,1753192255.9816463,bot
keydown,e,1753192256.1840131,bot
keyup,e,1753192256.1841083,bot
keydown,l,1753192256.386561,bot
keyup,l,1753192256.3867276,bot
keydown,l,1753192256.5892034,bot
keyup,l,1753192256.5894067,bot
keydown,o,1753192256.7921937,bot
keyup,o,1753192256.7922902,bot
keydown,Key.space,1753192256.9948933,bot
keyup,Key.space,1753192256.9951022,bot
keydown,w,1753192257.1976283,bot
keyup,w,1753192257.1978855,bot
keydown,o,1753192257.4005008,bot
keyup,o,1753192257.4008784,bot
keydown,r,1753192257.6037445,bot
keyup,r,1753192257.6038804,bot
keydown,l,1753192257.8062215,bot
keyup,l,1753192257.806313,bot
keydown,d,1753192258.0087543,bot
keyup,d,1753192258.0091646,bot
keydown,Key.space,1753192258.2118244,bot
keyup,Key.space,1753192258.211953,bot
keydown,h,1753192258.4144957,bot
keyup,h,1753192258.4146204,bot
keydown,e,1753192258.6170824,bot
keyup,e,1753192258.6174586,bot
keydown,l,1753192258.820109,bot
keyup,l,1753192258.820504,bot
keydown,l,1753192259.0229342,bot
keyup,l,1753192259.02308,bot
keydown,o,1753192259.225513,bot
keyup,o,1753192259.2257326,bot
keydown,Key.space,1753192259.4278686,bot
keyup,Key.space,1753192259.4282122,bot
keydown,w,1753192259.6308231,bot
keyup,w,1753192259.631004,bot
keydown,o,1753192259.833211,bot
keyup,o,1753192259.833346,bot
keydown,r,1753192260.0358684,bot
keyup,r,1753192260.036052,bot
keydown,l,1753192260.2383728,bot
keyup,l,1753192260.2385526,bot
keydown,d,1753192260.441033,bot
keyup,d,1753192260.4412763,bot
keydown,Key.space,1753192260.643557,bot
keyup,Key.space,1753192260.6437762,bot
keydown,h,1753192260.8461351,bot
keyup,h,1753192260.8462284,bot
keydown,e,1753192261.0488544,bot
keyup,e,1753192261.0490422,bot
keydown,l,1753192261.2514205,bot
keyup,l,1753192261.251579,bot
keydown,l,1753192261.454003,bot
keyup,l,1753192261.4541755,bot
keydown,o,1753192261.6564872,bot
keyup,o,1753192261.6565862,bot
keydown,Key.space,1753192261.8592207,bot
keyup,Key.space,1753192261.859404,bot
keydown,w,1753192262.061997,bot
keyup,w,1753192262.06218,bot
keydown,o,1753192262.2647347,bot
keyup,o,1753192262.2648644,bot
keydown,r,1753192262.4670315,bot
keyup,r,1753192262.4676282,bot
keydown,l,1753192262.6702712,bot
keyup,l,1753192262.6704051,bot
keydown,d,1753192262.8733106,bot
keyup,d,1753192262.8734486,bot
keydown,Key.space,1753192263.0758824,bot
keyup,Key.space,1753192263.0760303,bot
keydown,h,1753192263.2784991,bot
keyup,h,1753192263.2786279,bot
keydown,e,1753192263.4811904,bot
keyup,e,1753192263.4813428,bot
keydown,l,1753192263.6837506,bot
keyup,l,1753192263.6838791,bot
keydown,l,1753192263.8864574,bot
keyup,l,1753192263.886705,bot
keydown,o,1753192264.0892484,bot
keyup,o,1753192264.0896375,bot
keydown,Key.space,1753192264.2920864,bot
keyup,Key.space,1753192264.2922106,bot
keydown,w,1753192264.494885,bot
keyup,w,1753192264.4950092,bot
keydown,o,1753192264.6974828,bot
keyup,o,1753192264.697598,bot
